PS|PC_HL|P_HL_KAN|DAT_AKT
1|1|438|01.10.2023 01:20:00
1|2|189|
1|3|165|
1|4|137|
1|5|144|
1|6|80|
1|7|111|
1|8|127|
1|9|95|
1|10|129|
1|11|60|
1|12|76|
1|13|105|
1|14|51|
1|15|98|
1|16|89|
1|17|88|
1|18|161|
1|19|41|
1|20|54|
1|21|56|
1|22|31|
1|23|29|
1|24|32|
1|25|28|
1|26|31|
1|27|59|
1|28|38|
1|29|30|
1|30|33|
1|31|35|
1|32|24|
1|33|20|
1|34|35|
1|35|19|
1|36|42|
1|37|50|
1|38|9|
1|39|16|
1|40|51|
1|41|29|
1|42|16|
1|43|8|
1|44|25|
1|45|13|
1|46|17|
1|47|23|
1|48|14|
1|49|10|
1|50|14|
1|51|29|
1|52|18|
1|53|20|
1|54|33|
1|55|17|
1|56|29|
1|57|18|
1|58|44|
1|59|13|
1|60|30|
2|1|47|
2|2|41|
2|3|149|
2|4|38|
2|5|27|
2|6|25|
2|7|15|
2|8|34|
2|9|27|
2|10|16|
2|11|5|
2|12|18|
2|13|11|
2|14|22|
2|15|13|
2|16|11|
2|17|20|
2|18|39|
2|19|10|
2|20|9|
2|21|19|
2|22|14|
2|23|5|
2|24|5|
2|25|6|
2|26|2|
2|27|5|
2|28|12|
2|29|7|
2|30|5|
2|31|7|
2|32|8|
2|33|5|
2|34|4|
2|35|8|
2|36|16|
2|37|3|
2|38|6|
2|39|15|
2|40|3|
2|41|2|
2|42|10|
2|43|3|
2|44|2|
2|45|2|
2|46|11|
2|47|5|
2|48|4|
2|49|3|
2|50|6|
2|51|1|
2|52|5|
2|53|7|
2|54|3|
2|55|7|
2|56|3|
2|57|2|
2|58|19|
2|59|2|
2|60|4|
2|61|4|
2|62|3|
2|63|4|
2|64|5|
2|65|1|
2|66|8|
2|67|2|
2|68|3|
2|69|3|
2|70|17|
3|1|36390|
3|2|12218|
3|3|14729|
3|4|7450|
3|5|6854|
3|6|2968|
3|7|1565|
3|8|1911|
3|9|3349|
3|10|3547|
3|11|1986|
3|12|2322|
3|13|3004|
3|14|1282|
3|15|6943|
3|16|673|
3|17|4131|
3|18|1414|
3|19|1345|
3|20|722|
3|21|702|
3|22|606|
3|23|351|
3|24|1609|
3|25|1286|
3|26|295|
3|27|356|
3|28|472|
3|29|181|
3|30|437|
3|31|814|
3|32|364|
3|33|159|
3|34|154|
3|35|958|
3|36|631|
