OKRES|PS|P_HL_PS|DAT_AKT
101|1|4|01.10.2023 02:20:00
101|2|3|
101|3|1556|
101|5|155|
101|6|1|
101|7|4|
101|9|22|
101|10|4|
101|12|617|
101|13|44|
101|14|2|
101|15|118|
101|16|577|
101|17|243|
101|18|12|
101|19|3|
101|21|12|
101|22|179|
101|23|226|
101|24|2|
101|25|65|
102|1|41|
102|3|4357|
102|4|7|
102|5|728|
102|6|10|
102|7|12|
102|8|3|
102|9|50|
102|10|10|
102|11|1|
102|12|1792|
102|13|180|
102|14|5|
102|15|495|
102|16|2315|
102|17|1239|
102|18|95|
102|19|18|
102|20|4|
102|21|49|
102|22|501|
102|23|652|
102|24|10|
102|25|338|
103|1|16|
103|2|3|
103|3|2332|
103|4|4|
103|5|377|
103|6|15|
103|7|3|
103|8|2|
103|9|17|
103|10|1|
103|11|3|
103|12|999|
103|13|92|
103|14|6|
103|15|290|
103|16|1255|
103|17|688|
103|18|21|
103|19|4|
103|20|2|
103|21|43|
103|22|340|
103|23|290|
103|24|5|
103|25|200|
104|1|25|
104|2|2|
104|3|2894|
104|4|5|
104|5|405|
104|6|14|
104|7|4|
104|8|2|
104|9|23|
104|10|6|
104|12|1141|
104|13|140|
104|14|12|
104|15|437|
104|16|1610|
104|17|901|
104|18|33|
104|19|5|
104|20|3|
104|21|66|
104|22|415|
104|23|451|
104|24|9|
104|25|289|
105|1|26|
105|2|2|
105|3|2622|
105|4|3|
105|5|588|
105|6|19|
105|7|11|
105|8|2|
105|9|20|
105|10|3|
105|11|5|
105|12|1136|
105|13|155|
105|14|6|
105|15|444|
105|16|1695|
105|17|936|
105|18|47|
105|19|2|
105|20|2|
105|21|60|
105|22|449|
105|23|397|
105|24|12|
105|25|306|
106|1|63|
106|2|5|
106|3|3397|
106|4|21|
106|5|1417|
106|6|79|
106|7|9|
106|8|9|
106|9|19|
106|10|16|
106|11|12|
106|12|1334|
106|13|548|
106|14|34|
106|15|873|
106|16|4583|
106|17|2800|
106|18|13|
106|19|15|
106|20|7|
106|21|166|
106|22|606|
106|23|803|
106|24|20|
106|25|1008|
107|1|23|
107|3|1049|
107|4|10|
107|5|366|
107|6|28|
107|7|2|
107|9|10|
107|10|6|
107|11|5|
107|12|381|
107|13|106|
107|14|9|
107|15|288|
107|16|1139|
107|17|682|
107|18|3|
107|19|3|
107|20|2|
107|21|36|
107|22|203|
107|23|335|
107|24|8|
107|25|236|
108|1|35|
108|2|6|
108|3|2217|
108|4|3|
108|5|780|
108|6|20|
108|7|27|
108|8|4|
108|9|34|
108|11|12|
108|12|825|
108|13|237|
108|14|7|
108|15|373|
108|16|1748|
108|17|1027|
108|18|727|
108|19|8|
108|20|2|
108|21|30|
108|22|398|
108|23|491|
108|24|5|
108|25|355|
201|1|96|
201|2|5|
201|3|3274|
201|4|13|
201|5|2163|
201|6|38|
201|7|275|
201|8|15|
201|9|613|
201|10|8|
201|11|4|
201|12|699|
201|13|401|
201|14|10|
201|15|337|
201|16|3877|
201|17|1640|
201|18|16353|
201|19|9|
201|20|6|
201|21|84|
201|22|260|
201|23|262|
201|24|8|
201|25|457|
202|1|44|
202|2|7|
202|3|1984|
202|4|20|
202|5|1519|
202|6|63|
202|7|22|
202|8|3|
202|9|73|
202|10|5|
202|11|3|
202|12|731|
202|13|331|
202|14|9|
202|15|547|
202|16|2816|
202|17|1623|
202|18|1613|
202|19|8|
202|20|4|
202|21|100|
202|22|322|
202|23|417|
202|24|16|
202|25|584|
203|1|26|
203|2|3|
203|3|1401|
203|4|10|
203|5|583|
203|6|56|
203|7|6|
203|8|2|
203|9|12|
203|10|4|
203|11|13|
203|12|444|
203|13|211|
203|14|10|
203|15|517|
203|16|2493|
203|17|1404|
203|18|5|
203|19|5|
203|20|1|
203|21|90|
203|22|280|
203|23|409|
203|24|7|
203|25|473|
204|1|31|
204|2|2|
204|3|1806|
204|4|7|
204|5|629|
204|6|34|
204|7|3|
204|8|5|
204|9|8|
204|10|2|
204|11|4|
204|12|552|
204|13|207|
204|14|30|
204|15|524|
204|16|2530|
204|17|1318|
204|18|7|
204|19|5|
204|20|4|
204|21|96|
204|22|352|
204|23|527|
204|24|30|
204|25|487|
205|1|27|
205|2|1|
205|3|1500|
205|4|7|
205|5|724|
205|6|50|
205|7|2|
205|8|7|
205|9|7|
205|10|5|
205|11|1|
205|12|463|
205|13|256|
205|14|17|
205|15|476|
205|16|2108|
205|17|1290|
205|18|2|
205|19|5|
205|20|3|
205|21|68|
205|22|239|
205|23|520|
205|24|13|
205|25|475|
206|1|20|
206|2|3|
206|3|1550|
206|4|10|
206|5|882|
206|6|30|
206|7|1|
206|8|5|
206|9|3|
206|10|6|
206|12|500|
206|13|232|
206|14|5|
206|15|375|
206|16|1531|
206|17|1024|
206|18|2|
206|19|4|
206|20|2|
206|21|103|
206|22|285|
206|23|561|
206|24|6|
206|25|391|
207|1|38|
207|2|4|
207|3|1872|
207|4|5|
207|5|1386|
207|6|37|
207|7|7|
207|8|22|
207|9|19|
207|10|4|
207|11|8|
207|12|691|
207|13|277|
207|14|16|
207|15|616|
207|16|2959|
207|17|1807|
207|18|2|
207|19|7|
207|20|3|
207|21|91|
207|22|427|
207|23|783|
207|24|9|
207|25|594|
301|1|23|
301|2|4|
301|3|1520|
301|4|12|
301|5|641|
301|6|73|
301|7|7|
301|8|23|
301|9|10|
301|10|5|
301|11|5|
301|12|506|
301|13|244|
301|14|8|
301|15|840|
301|16|3747|
301|17|1992|
301|18|5|
301|19|9|
301|20|4|
301|21|130|
301|22|225|
301|23|678|
301|24|10|
301|25|616|
302|1|36|
302|2|3|
302|3|1563|
302|4|7|
302|5|566|
302|6|46|
302|7|3|
302|8|3|
302|9|27|
302|10|9|
302|11|6|
302|12|643|
302|13|211|
302|14|23|
302|15|997|
302|16|3576|
302|17|1922|
302|18|11|
302|19|7|
302|20|3|
302|21|120|
302|22|283|
302|23|611|
302|24|21|
302|25|519|
303|1|24|
303|2|4|
303|3|1495|
303|4|5|
303|5|428|
303|6|49|
303|7|4|
303|8|9|
303|9|13|
303|10|5|
303|11|7|
303|12|433|
303|13|196|
303|14|12|
303|15|449|
303|16|1816|
303|17|1414|
303|18|3|
303|19|5|
303|20|1|
303|21|81|
303|22|171|
303|23|123|
303|24|16|
303|25|376|
304|1|42|
304|2|9|
304|3|3078|
304|4|14|
304|5|1195|
304|6|73|
304|7|9|
304|8|4|
304|9|12|
304|10|21|
304|11|12|
304|12|1126|
304|13|461|
304|14|22|
304|15|1023|
304|16|4232|
304|17|2647|
304|18|5|
304|19|16|
304|20|4|
304|21|192|
304|22|460|
304|23|804|
304|24|30|
304|25|925|
305|1|55|
305|2|8|
305|3|2321|
305|4|15|
305|5|958|
305|6|70|
305|7|3|
305|8|12|
305|9|15|
305|10|9|
305|11|5|
305|12|831|
305|13|361|
305|14|24|
305|15|1151|
305|16|5333|
305|17|2708|
305|18|1|
305|19|15|
305|20|2|
305|21|192|
305|22|473|
305|23|1055|
305|24|14|
305|25|905|
306|1|26|
306|2|2|
306|3|1122|
306|4|9|
306|5|390|
306|6|24|
306|7|1|
306|8|2|
306|9|8|
306|10|3|
306|11|6|
306|12|331|
306|13|177|
306|14|9|
306|15|849|
306|16|3121|
306|17|1443|
306|18|5|
306|19|4|
306|20|2|
306|21|87|
306|22|192|
306|23|543|
306|24|3|
306|25|560|
307|1|140|
307|2|10|
307|3|6896|
307|4|23|
307|5|2513|
307|6|274|
307|7|9|
307|8|53|
307|9|49|
307|10|18|
307|11|30|
307|12|2231|
307|13|937|
307|14|38|
307|15|3106|
307|16|12484|
307|17|6945|
307|18|8|
307|19|27|
307|20|7|
307|21|451|
307|22|1271|
307|23|1720|
307|24|40|
307|25|2613|
308|1|38|
308|2|4|
308|3|1627|
308|4|4|
308|5|600|
308|6|44|
308|7|1|
308|9|15|
308|10|4|
308|11|7|
308|12|524|
308|13|232|
308|14|14|
308|15|859|
308|16|3642|
308|17|1876|
308|18|2|
308|19|5|
308|20|3|
308|21|116|
308|22|284|
308|23|682|
308|24|9|
308|25|604|
309|1|61|
309|2|5|
309|3|4425|
309|4|25|
309|5|1524|
309|6|104|
309|7|4|
309|8|8|
309|9|45|
309|10|18|
309|11|9|
309|12|1420|
309|13|553|
309|14|22|
309|15|1757|
309|16|6285|
309|17|3950|
309|18|4|
309|19|23|
309|20|9|
309|21|225|
309|22|805|
309|23|1686|
309|24|32|
309|25|1307|
401|1|87|
401|2|11|
401|3|1766|
401|4|18|
401|5|1341|
401|6|25|
401|7|108|
401|8|8|
401|9|118|
401|10|5|
401|11|2|
401|12|394|
401|13|204|
401|14|14|
401|15|303|
401|16|2818|
401|17|1340|
401|18|10524|
401|19|8|
401|20|1|
401|21|61|
401|22|167|
401|23|124|
401|24|7|
401|25|429|
402|1|144|
402|2|15|
402|3|5989|
402|4|25|
402|5|3611|
402|6|153|
402|7|121|
402|8|8|
402|9|175|
402|10|22|
402|11|38|
402|12|1884|
402|13|992|
402|14|33|
402|15|1595|
402|16|8946|
402|17|6028|
402|18|5064|
402|19|50|
402|20|12|
402|21|508|
402|22|971|
402|23|1603|
402|24|29|
402|25|1931|
403|1|56|
403|2|2|
403|3|5052|
403|4|16|
403|5|1877|
403|6|51|
403|7|15|
403|8|7|
403|9|45|
403|10|7|
403|11|23|
403|12|1914|
403|13|629|
403|14|39|
403|15|1511|
403|16|8535|
403|17|5110|
403|18|236|
403|19|26|
403|20|2|
403|21|240|
403|22|867|
403|23|1473|
403|24|29|
403|25|1505|
404|1|53|
404|2|3|
404|3|2304|
404|4|12|
404|5|1302|
404|6|39|
404|7|32|
404|8|2|
404|9|84|
404|10|4|
404|11|4|
404|12|672|
404|13|380|
404|14|15|
404|15|691|
404|16|4050|
404|17|2610|
404|18|2775|
404|19|15|
404|20|3|
404|21|124|
404|22|328|
404|23|528|
404|24|6|
404|25|836|
405|1|50|
405|2|5|
405|3|1470|
405|4|12|
405|5|1126|
405|6|42|
405|7|32|
405|9|40|
405|10|6|
405|11|1|
405|12|492|
405|13|217|
405|14|8|
405|15|236|
405|16|2039|
405|17|1172|
405|18|2126|
405|19|7|
405|20|2|
405|21|71|
405|22|200|
405|23|133|
405|24|7|
405|25|390|
406|1|48|
406|2|5|
406|3|1758|
406|4|10|
406|5|916|
406|6|29|
406|7|4|
406|8|8|
406|9|9|
406|10|4|
406|11|10|
406|12|632|
406|13|335|
406|14|13|
406|15|1008|
406|16|5988|
406|17|2420|
406|18|8|
406|19|12|
406|20|3|
406|21|140|
406|22|386|
406|23|810|
406|24|22|
406|25|755|
407|1|25|
407|2|1|
407|3|580|
407|5|384|
407|6|25|
407|7|4|
407|9|9|
407|10|4|
407|12|226|
407|13|121|
407|14|9|
407|15|487|
407|16|1784|
407|17|1121|
407|18|60|
407|19|6|
407|20|1|
407|21|69|
407|22|123|
407|23|316|
407|24|4|
407|25|390|
501|1|17|
501|2|1|
501|3|956|
501|4|5|
501|5|519|
501|6|34|
501|7|1|
501|8|4|
501|9|6|
501|10|4|
501|11|10|
501|12|356|
501|13|189|
501|14|7|
501|15|783|
501|16|2753|
501|17|1509|
501|18|2|
501|19|7|
501|21|78|
501|22|160|
501|23|506|
501|24|7|
501|25|528|
502|1|15|
502|2|2|
502|3|723|
502|4|14|
502|5|409|
502|6|21|
502|9|1|
502|10|1|
502|11|1|
502|12|276|
502|13|134|
502|14|1|
502|15|611|
502|16|3153|
502|17|1575|
502|19|5|
502|20|5|
502|21|76|
502|22|119|
502|23|407|
502|24|4|
502|25|452|
503|1|22|
503|2|4|
503|3|994|
503|4|9|
503|5|794|
503|6|30|
503|8|3|
503|9|5|
503|10|6|
503|11|1|
503|12|383|
503|13|197|
503|14|4|
503|15|525|
503|16|1240|
503|17|1037|
503|19|2|
503|20|9|
503|21|77|
503|22|332|
503|23|1390|
503|24|8|
503|25|348|
504|1|12|
504|2|1|
504|3|766|
504|4|4|
504|5|360|
504|6|21|
504|7|1|
504|8|3|
504|9|5|
504|10|1|
504|11|1|
504|12|255|
504|13|109|
504|14|10|
504|15|677|
504|16|2326|
504|17|1093|
504|18|1|
504|19|4|
504|20|4|
504|21|60|
504|22|134|
504|23|349|
504|24|2|
504|25|409|
505|1|66|
505|2|13|
505|3|3207|
505|4|21|
505|5|1351|
505|6|86|
505|7|6|
505|8|6|
505|9|14|
505|10|16|
505|11|10|
505|12|1221|
505|13|503|
505|14|22|
505|15|1558|
505|16|4205|
505|17|3751|
505|18|9|
505|19|11|
505|20|4|
505|21|172|
505|22|540|
505|23|1115|
505|24|11|
505|25|1255|
506|1|84|
506|2|6|
506|3|4602|
506|4|23|
506|5|1386|
506|6|110|
506|7|8|
506|8|11|
506|9|33|
506|10|17|
506|11|14|
506|12|1512|
506|13|493|
506|14|36|
506|15|1946|
506|16|5886|
506|17|3825|
506|18|12|
506|19|27|
506|20|7|
506|21|284|
506|22|648|
506|23|1011|
506|24|13|
506|25|1305|
507|1|16|
507|2|6|
507|3|999|
507|4|3|
507|5|854|
507|6|16|
507|7|5|
507|8|8|
507|9|5|
507|10|3|
507|11|3|
507|12|362|
507|13|218|
507|14|5|
507|15|841|
507|16|1854|
507|17|1291|
507|18|1|
507|19|2|
507|20|5|
507|21|75|
507|22|246|
507|23|3598|
507|24|4|
507|25|523|
508|1|74|
508|2|12|
508|3|3199|
508|4|38|
508|5|1953|
508|6|109|
508|7|9|
508|8|9|
508|9|14|
508|10|9|
508|11|9|
508|12|1168|
508|13|577|
508|14|20|
508|15|1920|
508|16|4198|
508|17|3197|
508|18|12|
508|19|10|
508|20|10|
508|21|224|
508|22|680|
508|23|2329|
508|24|16|
508|25|1643|
509|1|35|
509|2|7|
509|3|826|
509|4|7|
509|5|323|
509|6|54|
509|7|4|
509|8|5|
509|9|3|
509|10|7|
509|11|2|
509|12|258|
509|13|182|
509|14|13|
509|15|506|
509|16|1623|
509|17|1290|
509|18|3|
509|19|11|
509|20|1|
509|21|119|
509|22|112|
509|23|217|
509|24|7|
509|25|426|
510|1|11|
510|2|1|
510|3|647|
510|5|345|
510|6|14|
510|8|11|
510|9|3|
510|10|1|
510|11|1|
510|12|234|
510|13|96|
510|14|4|
510|15|575|
510|16|1018|
510|17|728|
510|18|1|
510|19|3|
510|20|3|
510|21|49|
510|22|136|
510|23|875|
510|24|1|
510|25|280|
511|1|112|
511|2|10|
511|3|7355|
511|4|68|
511|5|2638|
511|6|108|
511|7|11|
511|8|19|
511|9|32|
511|10|11|
511|11|20|
511|12|2595|
511|13|703|
511|14|37|
511|15|2911|
511|16|10360|
511|17|5793|
511|18|6|
511|19|16|
511|20|7|
511|21|366|
511|22|1258|
511|23|2554|
511|24|22|
511|25|1991|
601|1|94|
601|2|6|
601|3|5436|
601|4|24|
601|5|1333|
601|6|110|
601|7|25|
601|8|6|
601|9|33|
601|10|10|
601|11|11|
601|12|1908|
601|13|604|
601|14|25|
601|15|1633|
601|16|5506|
601|17|5855|
601|18|17|
601|19|40|
601|20|5|
601|21|360|
601|22|745|
601|23|1285|
601|24|20|
601|25|993|
602|1|5|
602|2|2|
602|3|297|
602|5|124|
602|6|5|
602|7|1|
602|8|1|
602|9|5|
602|10|1|
602|12|83|
602|13|60|
602|14|1|
602|15|181|
602|16|479|
602|17|477|
602|18|1|
602|19|5|
602|21|43|
602|22|60|
602|23|130|
602|24|1|
602|25|110|
603|1|30|
603|2|3|
603|3|889|
603|4|5|
603|5|340|
603|6|29|
603|7|5|
603|9|10|
603|10|1|
603|11|2|
603|12|301|
603|13|180|
603|14|10|
603|15|417|
603|16|1353|
603|17|1297|
603|18|2|
603|19|33|
603|20|2|
603|21|51|
603|22|161|
603|23|332|
603|24|4|
603|25|434|
604|1|19|
604|2|5|
604|3|890|
604|4|6|
604|5|359|
604|6|37|
604|7|2|
604|8|3|
604|9|7|
604|10|3|
604|11|5|
604|12|379|
604|13|188|
604|14|6|
604|15|842|
604|16|2416|
604|17|1643|
604|18|1|
604|19|2|
604|20|1|
604|21|64|
604|22|178|
604|23|514|
604|24|4|
604|25|542|
605|1|32|
605|2|6|
605|3|575|
605|4|3|
605|5|337|
605|6|21|
605|7|3|
605|8|2|
605|9|14|
605|10|8|
605|11|4|
605|12|216|
605|13|141|
605|14|8|
605|15|452|
605|16|1290|
605|17|1062|
605|18|4|
605|19|23|
605|20|3|
605|21|110|
605|22|124|
605|23|390|
605|24|1|
605|25|390|
606|1|134|
606|2|45|
606|3|2812|
606|4|24|
606|5|2388|
606|6|104|
606|7|74|
606|8|7|
606|9|226|
606|10|14|
606|11|6|
606|12|843|
606|13|597|
606|14|15|
606|15|1060|
606|16|4812|
606|17|3962|
606|18|2156|
606|19|9|
606|20|9|
606|21|255|
606|22|412|
606|23|561|
606|24|16|
606|25|1084|
607|1|38|
607|2|8|
607|3|817|
607|4|7|
607|5|611|
607|6|44|
607|7|10|
607|8|5|
607|9|8|
607|10|2|
607|11|9|
607|12|219|
607|13|266|
607|14|5|
607|15|690|
607|16|2776|
607|17|2116|
607|18|8|
607|19|21|
607|20|3|
607|21|188|
607|22|127|
607|23|331|
607|24|3|
607|25|624|
608|1|47|
608|2|10|
608|3|420|
608|4|11|
608|5|1095|
608|6|29|
608|7|31|
608|8|2|
608|9|15|
608|10|3|
608|11|4|
608|12|109|
608|13|138|
608|14|2|
608|15|238|
608|16|1122|
608|17|975|
608|18|813|
608|19|4|
608|20|3|
608|21|109|
608|22|80|
608|23|139|
608|24|4|
608|25|299|
609|1|192|
609|2|21|
609|3|1459|
609|4|21|
609|5|1376|
609|6|50|
609|7|167|
609|8|9|
609|9|84|
609|10|5|
609|11|14|
609|12|583|
609|13|1008|
609|14|11|
609|15|709|
609|16|3336|
609|17|2630|
609|18|4603|
609|19|14|
609|20|2|
609|21|221|
609|22|268|
609|23|228|
609|24|11|
609|25|971|
610|1|69|
610|2|14|
610|3|1005|
610|4|14|
610|5|899|
610|6|31|
610|7|51|
610|8|7|
610|9|196|
610|10|6|
610|11|6|
610|12|321|
610|13|237|
610|14|7|
610|15|453|
610|16|2478|
610|17|2254|
610|18|917|
610|19|81|
610|20|2|
610|21|211|
610|22|152|
610|23|231|
610|24|9|
610|25|568|
611|1|43|
611|2|3|
611|3|2540|
611|4|17|
611|5|864|
611|6|93|
611|7|5|
611|8|7|
611|9|26|
611|10|3|
611|11|2|
611|12|942|
611|13|353|
611|14|13|
611|15|1186|
611|16|3219|
611|17|2722|
611|18|10|
611|19|7|
611|20|2|
611|21|161|
611|22|440|
611|23|678|
611|24|14|
611|25|640|
612|1|28|
612|2|3|
612|3|958|
612|4|4|
612|5|474|
612|6|35|
612|7|2|
612|8|3|
612|9|8|
612|10|4|
612|11|5|
612|12|344|
612|13|180|
612|14|57|
612|15|546|
612|16|2083|
612|17|1531|
612|18|10|
612|19|6|
612|20|1|
612|21|135|
612|22|202|
612|23|501|
612|24|3|
612|25|465|
613|1|47|
613|2|8|
613|3|1687|
613|4|12|
613|5|577|
613|6|76|
613|7|3|
613|8|4|
613|9|15|
613|10|7|
613|11|5|
613|12|548|
613|13|336|
613|14|14|
613|15|785|
613|16|2583|
613|17|2434|
613|18|6|
613|19|14|
613|20|4|
613|21|200|
613|22|245|
613|23|552|
613|24|5|
613|25|627|
701|1|111|
701|2|29|
701|3|2519|
701|4|20|
701|5|4644|
701|6|77|
701|7|15|
701|8|6|
701|9|44|
701|10|12|
701|11|7|
701|12|1051|
701|13|697|
701|14|23|
701|15|1642|
701|16|7127|
701|17|5601|
701|18|17|
701|19|15|
701|20|6|
701|21|164|
701|22|780|
701|23|5578|
701|24|11|
701|25|1368|
702|1|35|
702|2|30|
702|3|2358|
702|4|22|
702|5|2490|
702|6|96|
702|7|21|
702|8|4|
702|9|46|
702|10|10|
702|11|11|
702|12|1037|
702|13|608|
702|14|24|
702|15|1721|
702|16|7977|
702|17|4942|
702|18|10|
702|19|22|
702|20|16|
702|21|167|
702|22|622|
702|23|3607|
702|24|21|
702|25|1460|
703|1|85|
703|2|15|
703|3|2947|
703|4|14|
703|5|4949|
703|6|81|
703|7|13|
703|8|6|
703|9|51|
703|10|17|
703|11|13|
703|12|979|
703|13|512|
703|14|16|
703|15|1360|
703|16|4390|
703|17|3543|
703|18|25|
703|19|13|
703|20|10|
703|21|171|
703|22|660|
703|23|4019|
703|24|15|
703|25|1870|
704|1|28|
704|2|5|
704|3|697|
704|4|18|
704|5|1371|
704|6|26|
704|7|4|
704|8|1|
704|9|14|
704|10|4|
704|11|4|
704|12|333|
704|13|231|
704|14|5|
704|15|526|
704|16|1791|
704|17|1255|
704|18|8|
704|19|5|
704|20|5|
704|21|70|
704|22|216|
704|23|2064|
704|24|4|
704|25|511|
705|1|22|
705|2|20|
705|3|301|
705|4|4|
705|5|579|
705|6|15|
705|7|3|
705|8|8|
705|9|6|
705|10|1|
705|11|2|
705|12|124|
705|13|205|
705|14|3|
705|15|370|
705|16|1433|
705|17|1134|
705|18|6|
705|19|5|
705|20|1|
705|21|61|
705|22|62|
705|23|301|
705|24|4|
705|25|207|
706|1|77|
706|2|13|
706|3|4686|
706|4|28|
706|5|3795|
706|6|119|
706|7|10|
706|8|3|
706|9|27|
706|10|4|
706|11|14|
706|12|1576|
706|13|599|
706|14|19|
706|15|1739|
706|16|5014|
706|17|3647|
706|18|29|
706|19|14|
706|20|9|
706|21|171|
706|22|862|
706|23|3479|
706|24|31|
706|25|1604|
707|1|162|
707|2|40|
707|3|5732|
707|4|37|
707|5|5349|
707|6|113|
707|7|21|
707|8|12|
707|9|59|
707|10|18|
707|11|12|
707|12|2086|
707|13|1241|
707|14|23|
707|15|2185|
707|16|7264|
707|17|6510|
707|18|25|
707|19|19|
707|20|18|
707|21|230|
707|22|1620|
707|23|6566|
707|24|29|
707|25|1838|
708|1|66|
708|2|10|
708|3|1172|
708|4|15|
708|5|3281|
708|6|47|
708|7|5|
708|8|9|
708|9|7|
708|10|10|
708|11|8|
708|12|465|
708|13|376|
708|14|15|
708|15|1071|
708|16|3430|
708|17|2918|
708|18|7|
708|19|8|
708|20|3|
708|21|91|
708|22|328|
708|23|2798|
708|24|7|
708|25|902|
709|1|19|
709|2|16|
709|3|1144|
709|4|3|
709|5|980|
709|6|46|
709|7|22|
709|8|3|
709|9|13|
709|10|6|
709|11|2|
709|12|459|
709|13|340|
709|14|10|
709|15|935|
709|16|5926|
709|17|3232|
709|18|9|
709|19|7|
709|20|5|
709|21|79|
709|22|220|
709|23|1783|
709|24|6|
709|25|705|
710|1|48|
710|2|8|
710|3|1159|
710|4|9|
710|5|1825|
710|6|65|
710|7|8|
710|8|3|
710|9|12|
710|10|5|
710|11|5|
710|12|510|
710|13|266|
710|14|10|
710|15|976|
710|16|3708|
710|17|2452|
710|18|5|
