OKRES|P_OKRSOK|P_ZAP|P_ZUC|P_OO|P_HL|DAT_AKT
102|6|5885|4299|4295|4256|01.10.2023 01:30:00
103|2|1061|742|742|733|
105|1|742|533|532|528|
106|10|8715|6244|6241|6177|
107|4|2554|1979|1979|1969|
108|8|3830|2529|2525|2507|
201|42|23774|14313|14294|14108|
202|12|7519|5191|5188|5132|
203|10|4310|3159|3155|3132|
204|8|3840|2729|2728|2708|
205|8|4718|3441|3434|3400|
206|11|6097|3973|3968|3902|
207|13|8656|5365|5357|5290|
301|30|8187|6268|6268|6190|
302|17|8144|6066|6062|5984|
303|11|4245|3032|3026|2997|
304|21|11062|7800|7797|7723|
305|18|10182|6927|6922|6852|
306|24|8448|6411|6409|6307|
307|46|26172|18712|18703|18514|
308|19|8484|6438|6430|6339|
309|31|16780|12563|12546|12380|
401|34|17010|9379|9375|9255|
402|80|32090|20155|20142|19859|
403|35|19346|13964|13958|13810|
404|23|11675|7571|7569|7489|
405|3|1975|1257|1256|1238|
406|27|10293|7540|7536|7440|
407|9|4392|3303|3301|3260|
501|10|5475|4104|4102|4056|
502|9|5226|3638|3637|3583|
503|11|5071|3914|3913|3881|
504|7|4285|3238|3236|3204|
505|28|9598|7103|7102|7018|
506|26|10182|7543|7536|7467|
507|5|2992|2213|2209|2178|
508|20|13782|10054|10047|9941|
509|18|4737|3233|3233|3185|
510|9|5334|3980|3980|3947|
511|36|19277|14538|14513|14364|
601|34|15002|10875|10865|10751|
602|9|1968|1386|1385|1373|
603|13|6410|4311|4305|4243|
604|12|3265|2344|2343|2304|
605|28|4643|3112|3109|3051|
606|56|21497|11959|11954|11801|
607|22|7846|4909|4906|4823|
608|29|6221|3398|3394|3324|
609|89|24360|12756|12746|12493|
610|36|7383|4589|4587|4508|
611|22|7798|5562|5560|5513|
612|15|5946|4104|4101|4043|
613|22|10130|7210|7207|7120|
701|73|24666|17165|17157|16964|
702|57|21944|14294|14287|14127|
703|28|14108|8797|8785|8651|
704|23|4951|3662|3662|3606|
705|23|4387|2788|2784|2743|
706|15|11362|6765|6765|6667|
707|49|22667|16331|16317|16126|
708|23|8588|6008|6006|5921|
709|23|6494|4169|4168|4117|
710|33|13245|8938|8933|8858|
711|32|6167|4087|4086|4031|
712|55|10360|7115|7114|7033|
713|43|16849|11400|11396|11245|
801|7|2167|1368|1368|1345|
802|8|5939|3328|3325|3292|
803|5|4515|3007|3004|2976|
804|3|2344|1539|1539|1527|
805|10|9341|5588|5573|5519|
806|68|27591|18055|18038|17760|
807|50|23421|13084|13077|12911|
808|45|14320|7997|7986|7814|
809|31|7446|4867|4863|4796|
810|15|9655|5469|5466|5383|
811|61|27233|15452|15443|15218|
